# vehicleID, maxLat, minLat, maxLong, minLong
1025796,40.885207,40.820213,-94.415574,-94.493872
1025803,42.753999,42.701367,-90.476325,-90.704316
1025807,32.052267,32.015597,-93.675991,-93.714097
1025808,41.151953,41.113598,-73.906372,-73.962163
1025809,44.982006,44.905593,-88.017837,-88.089445
1025810,34.311228,34.25969,-118.568322,-118.661042
1025815,44.019043,43.950863,-96.223204,-96.304466
1025817,43.956807,43.902238,-103.387828,-103.429259
1025826,34.336325,34.284513,-80.02837,-80.117122
1025827,39.003611,38.950748,-85.855495,-85.988312
1025829,41.918586,41.82654,-89.303204,-89.412761
1025837,33.184291,33.135528,-86.468275,-86.845082
1025847,38.243135,38.192102,-85.584767,-85.629947
1025850,39.453957,39.375194,-104.423613,-104.737942
1025853,36.885131,36.837785,-83.756348,-83.834587
1025857,38.298276,38.240748,-85.510548,-85.605514
1025859,32.454774,32.408758,-104.123274,-104.265566
1025872,41.628209,41.582899,-73.77784,-73.849062
1025881,39.113899,39.073667,-94.343143,-94.630123
1025883,44.128695,44.06672,-88.267578,-88.311321
1025885,40.68681,40.656695,-96.448103,-96.506348
1025890,35.910286,35.86275,-79.514194,-79.779064
1025895,37.853404,37.805389,-93.51195,-93.577052
1025899,34.928511,34.866074,-96.062161,-96.129474
1025906,35.657173,35.601052,-95.219963,-95.267259
1025907,39.383525,39.347884,-101.358003,-102.091014
1025909,34.152178,34.082631,-118.657406,-118.687058
1025911,39.078498,39.036367,-100.009738,-100.198419
1025912,38.723849,38.677125,-86.908049,-87.025366
1025932,38.851063,38.801337,-92.135271,-92.250135
1025963,41.463334,41.41205,-91.032574,-91.101847
1025966,41.946881,41.895693,-122.506502,-122.58479
1025967,43.14707,43.103778,-75.264798,-75.348281
1025968,48.308679,48.22704,-122.32449,-122.440904
1025970,32.449243,32.41392,-86.471997,-86.656903
1025986,40.602102,40.547292,-93.69605,-93.750764
1025988,43.799601,43.753752,-89.438631,-89.470205
1025995,29.711265,29.66121,-91.086231,-91.505244
1026006,42.791629,42.744992,-114.526428,-114.742669
1026008,38.328329,38.274148,-85.381566,-85.516669
1026013,26.653944,26.611918,-81.82405,-82.941441
1026021,35.706052,35.657097,-97.108683,-97.363615
1026028,33.403445,33.346832,-84.527743,-84.714481
1026036,34.564282,34.516884,-98.976715,-99.016981
1026041,38.827524,38.76453,-77.028076,-77.158424
1026044,39.178444,39.122771,-90.25577,-90.659308
1026046,44.591368,44.551105,-94.173785,-94.239424
1026070,45.946277,45.901411,-115.975386,-116.180564
1026089,39.716227,39.67162,-91.935759,-92.046893
